model,diversification,personalize,NDCG@10,Recall@10,Precision@10,MRR@10,Novelty,CatalogCoverage,APLT,ACLT
WMF,None,-,0.0578,0.0527,0.0371,0.1301,10.3465,0.7578,0.1007,0.1623
WMF,I_DIV,P,0.0532 (-7.9%),0.0533 (+1.3%),0.0374 (+0.9%),0.1097 (-15.7%),10.3482 (+0.0%),0.7775 (+2.6%),0.1012 (+0.5%),0.1651 (+1.7%)
WMF,I_DIV,NP,0.0527 (-8.8%),0.0524 (-0.5%),0.0368 (-0.9%),0.1095 (-15.8%),10.3491 (+0.0%),0.7772 (+2.6%),0.1022 (+1.5%),0.1666 (+2.6%)
WMF,A_DIV,P,0.0526 (-9.0%),0.0477 (-9.4%),0.0334 (-9.9%),0.1195 (-8.1%),11.3994 (+10.2%),0.7562 (-0.2%),0.3633 (+261.0%),0.4236 (+161.0%)
WMF,A_DIV,NP,0.0498 (-13.9%),0.0440 (-16.4%),0.0306 (-17.5%),0.1141 (-12.3%),11.5092 (+11.2%),0.7559 (-0.3%),0.3733 (+270.9%),0.4161 (+156.3%)
WMF,I_DIV+A_DIV,P,0.0519 (-10.2%),0.0502 (-4.7%),0.0352 (-5.0%),0.1097 (-15.7%),10.9700 (+6.0%),0.7687 (+1.4%),0.2476 (+146.0%),0.3269 (+101.4%)
WMF,I_DIV+A_DIV,NP,0.0511 (-11.6%),0.0492 (-6.5%),0.0344 (-7.3%),0.1088 (-16.3%),10.9768 (+6.1%),0.7687 (+1.4%),0.2393 (+137.7%),0.3123 (+92.4%)
EASEᴿ,None,-,0.0764,0.0720,0.0492,0.1697,9.6216,0.7712,0.0300,0.0528
EASEᴿ,I_DIV,P,0.0682 (-10.7%),0.0705 (-2.1%),0.0487 (-1.1%),0.1402 (-17.4%),9.6241 (+0.0%),0.7879 (+2.2%),0.0311 (+3.6%),0.0545 (+3.3%)
EASEᴿ,I_DIV,NP,0.0689 (-9.8%),0.0708 (-1.8%),0.0485 (-1.5%),0.1437 (-15.3%),9.6223 (+0.0%),0.7877 (+2.1%),0.0307 (+2.2%),0.0530 (+0.5%)
EASEᴿ,A_DIV,P,0.0825 (+8.0%),0.0753 (+4.5%),0.0529 (+7.5%),0.1840 (+8.4%),10.4387 (+8.5%),0.7558 (-2.0%),0.1683 (+460.3%),0.2364 (+348.1%)
EASEᴿ,A_DIV,NP,0.0832 (+9.0%),0.0780 (+8.2%),0.0544 (+10.6%),0.1823 (+7.4%),10.4178 (+8.3%),0.7544 (-2.2%),0.1548 (+415.2%),0.2141 (+305.7%)
