model,diversification,personalize,lambda_param,NDCG_Loss (Abs),CompositeDiv_Gain,Tradeoff_Score
EASEᴿ,I_DIV,P,0.1,0.07637078690098324,0.022426168557708723,0.29364852017021703
EASEᴿ,I_DIV,P,0.6,0.07637078690098324,0.001416369159319697,0.018545954766134035
EASEᴿ,A_DIV,P,0.1,0.07637078690098324,0.5845012310856195,7.653466132847902
EASEᴿ,A_DIV,P,0.6,0.07637078690098324,0.1781524629696459,2.3327304876487043
EASEᴿ,I_DIV+A_DIV,P,0.1,0.07637078690098324,0.5624547775776039,7.364789606094297
EASEᴿ,I_DIV+A_DIV,P,0.6,0.07637078690098324,0.08141659472705418,1.0660698682156171
EASEᴿ,I_DIV,NP,0.1,0.07637078690098324,0.01723383124555694,0.2256599931057547
EASEᴿ,I_DIV,NP,0.6,0.07637078690098324,0.0,0.0
EASEᴿ,A_DIV,NP,0.1,0.07637078690098324,0.5971820493836001,7.819508919789742
EASEᴿ,A_DIV,NP,0.6,0.07637078690098324,0.14825597286884087,1.9412654875621314
EASEᴿ,I_DIV+A_DIV,NP,0.1,0.07637078690098324,0.5679119390796226,7.436245744278313
EASEᴿ,I_DIV+A_DIV,NP,0.6,0.07637078690098324,0.06352962908129037,0.8318577254370604
