model,diversification,personalize,lambda_param,NDCG_Loss,CompositeDiv_Gain,Tradeoff_Score
EASEᴿ,I_DIV,P,0.1,0.14118182391473233,0.0169427830806642,0.12000682956820917
EASEᴿ,I_DIV,P,0.2,0.14118182391473233,0.006708250695340381,0.04751497401954428
EASEᴿ,I_DIV,P,0.3,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.4,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.5,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.6,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.7,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.8,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,P,0.9,0.14118182391473233,0.00015382814527739597,0.0010895747130331838
EASEᴿ,A_DIV,P,0.1,0.14118182391473233,0.3580906083547036,2.536378964554068
EASEᴿ,A_DIV,P,0.2,0.14118182391473233,0.3889957362156752,2.755281986232248
EASEᴿ,A_DIV,P,0.3,0.14118182391473233,0.39203804093463934,2.7768308275391966
EASEᴿ,A_DIV,P,0.4,0.14118182391473233,0.3110638455167748,2.2032853584937664
EASEᴿ,A_DIV,P,0.5,0.14118182391473233,0.20299398366350607,1.4378195297016816
EASEᴿ,A_DIV,P,0.6,0.14118182391473233,0.11624590673342548,0.8233772840591218
EASEᴿ,A_DIV,P,0.7,0.14118182391473233,0.06570036124054608,0.4653599126203826
EASEᴿ,A_DIV,P,0.8,0.14118182391473233,0.03848726769514148,0.27260780905044907
EASEᴿ,A_DIV,P,0.9,0.14118182391473233,0.01610448502722696,0.11406911017776174
EASEᴿ,I_DIV+A_DIV,P,0.1,0.14118182391473233,0.5384331110196586,3.8137565877095394
EASEᴿ,I_DIV+A_DIV,P,0.2,0.14118182391473233,0.42460952233521954,3.0075367392311434
EASEᴿ,I_DIV+A_DIV,P,0.3,0.14118182391473233,0.26039080573508666,1.8443649367524204
EASEᴿ,I_DIV+A_DIV,P,0.4,0.14118182391473233,0.1399352314329264,0.9911703047372528
EASEᴿ,I_DIV+A_DIV,P,0.5,0.14118182391473233,0.07774366899595951,0.5506634412296111
EASEᴿ,I_DIV+A_DIV,P,0.6,0.14118182391473233,0.04866847050588101,0.34472192776936106
EASEᴿ,I_DIV+A_DIV,P,0.7,0.14118182391473233,0.03164850350762978,0.22416839951539438
EASEᴿ,I_DIV+A_DIV,P,0.8,0.14118182391473233,0.01852862343062127,0.13123943944662275
EASEᴿ,I_DIV+A_DIV,P,0.9,0.14118182391473233,0.008495796219649465,0.06017627470785868
EASEᴿ,I_DIV,NP,0.1,0.14118182391473233,0.009413057786976015,0.06667329777989758
EASEᴿ,I_DIV,NP,0.2,0.14118182391473233,0.004403913321783373,0.031193203201873528
EASEᴿ,I_DIV,NP,0.3,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.4,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.5,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.6,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.7,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.8,0.14118182391473233,0.0,0.0
EASEᴿ,I_DIV,NP,0.9,0.14118182391473233,0.00014396196105986858,0.0010196918914067532
